date,query,title,url,source,snippet
2026-06-23,AI 주요 뉴스,OpenAI launches new initiative to help find and patch open-source bugs - TechCrunch,https://techcrunch.com/2026/06/22/openai-launches-new-initiative-to-help-find-and-patch-open-source-bugs/,TechCrunch,OpenAI announced a new initiative on Monday designed to help the open source community improve its cybersecurity game and ward off bugs.
2026-06-23,AI 주요 뉴스,House kids’ safety deal complicates AI talks - Politico,https://www.politico.com/news/2026/06/22/house-kids-safety-deal-complicates-ai-talks-00971213,Politico,The bipartisan deal on kids’ online safety that the House Energy and Commerce Committee rolled out Monday threatens to derail hopes of passing major tech and AI legislation this year.
2026-06-23,AI 주요 뉴스,Mamdani’s Jewish allies criticize use of ‘monsters’ to describe AIPAC - The Jerusalem Post,https://www.jpost.com/diaspora/antisemitism/article-900200,The Jerusalem Post,New York City Mayor Zohran Mamdani on Monday defended his use of the word “monsters” to describe AIPAC at a rally on Friday for progressive candidates.
2026-06-23,AI 주요 뉴스,Colorado's GOP race for attorney general hinges on experience - Axios,https://www.axios.com/local/denver/2026/06/23/colorado-gop-race-attorney-general-michael-allen-david-willson,Axios,The Republican contest for attorney general features a veteran prosecutor focused on crime and an outsider arguing the legal system needs an aggressive overhaul.
2026-06-23,AI 주요 뉴스,Large-scale and high-resolution mass spectrometry-based proteomics defines molecular subtypes of nasopharyngeal carcinoma for therapeutic targeting - Nature,https://www.nature.com/articles/s41392-026-02742-0,Nature,"In this study, we performed proteomic and phosphoproteomic analyses of NPC and non-cancerous nasopharyngeal tissues to identify key dysregulated proteins and phosphorylation networks."
